,course,institution,url,admission req,language req,deadline
13,Computer Engineering – Master's Study Programme,RWTH Aachen University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5226/,"1. In order to apply to the RWTH Master's programme Electrical Engineering, Information Technology, and Computer Engineering with a specialisation in Computer Engineering, applicants should have completed their basic studies (Bachelor of Science or Engineering or an equivalent academic degree) at an internationally recognised university. The basic study should fulfil both the subject requirements listed below and those listed in detail on the homepage of the Faculty of Electrical Engineering and Information Technology (https://bit.ly/2FaAyk7).
at least 28 ECTS credits for advanced mathematics
	at least 10 ECTS credits for physics and physical principles of electronic devices
	at least 34 ECTS credits for fundamentals of electrical engineering including circuit technology
	at least 12 ECTS credits for informatics (computer science) and programming
	at least 8 ECTS credits for fundamentals of control and mathematical systems theory
	at least 8 ECTS credits for advanced electromagnetic field theory or theoretical information theory
	at least 20 ECTS credits for application-oriented courses

2. In addition, at the time of application, all applicants are obliged to prove that they have taken the Graduate Record Examination (GRE) General Test. The test score must fulfil the minimum requirements according to the current examination regulations. Applicants who are citizens of a member state of the European Union or the European Economic Area (EEA), as well as those with prior educational qualifications from Germany (so-called “Bildungsinländer”), are exempt from this rule.
3. Conditional admissions are possible. In this case, additional study requirements have to be fulfilled. 
4. Admission to this Master's course requires proof of an adequate knowledge of the English language (see below).","Admission to this study programme requires proof of adequate knowledge of the English language (TOEFL-iBT 90, IELTS 5.5, or equivalent).
International students who cannot provide proof of German language skills at level B1 or better (according to the CEFR) are obliged to take German language courses as part of their curriculum (equivalent to 8 ECTS credits).
https://bit.ly/3eTKGl8","Non-EU applicants: 1 March for the following winter semester
EU applicants: 15 July for the following winter semester
Non-EU applicants: 1 September for the following summer semester
EU applicants: 15 January for the following summer semester"
14,Computer Science,University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7606/,"Bachelor of Science degree in computer science
	Additional qualification requirements for the Bachelor's degree (credits in theoretical computer science, mathematics, programming, etc.)
	Mandatory documents (in English):
	Bachelor's degree plus up-to-date transcript of records
		TOEFL or IELTS result
		statement of purpose
		curriculum vitae
		a letter of motivation
	

For detailed information on our application requirements, applicants are asked to carefully read the guidelines on our website:https://www.informatik.uni-bonn.de/en/for-students/master-of-science-in-computer-science/application
Before applying, prospective students are asked to have a close look at our eligibility criteria!","Submission of a TOEFL or IELTS result is mandatory for all applicants. Applications without either test result will not be considered.
Exempt from this rule are: nationals and/or first degree holders (earned IN the respective country) from Antigua & Barbuda, Australia, The Bahamas, Barbados, Belize, English-speaking Canada, Gambia, Ghana, Grenada, Guyana, Republic of Ireland, Jamaica, Kiribati, Liberia, Mauritius, Micronesia, New Zealand, Nigeria, Papua New Guinea, St.Kitts-Nevis, St. Lucia, St. Vincent, Sierra Leone, Solomon Islands, Trinidad & Tobago, United Kingdom, United States, Zambia or Zimbabwe. Applicants from these countries do not have to submit language certificates.
Minimum scores for TOEFL/IELTS (results below minimum score will not be accepted):
TOEFL paper-based: 550 points
	TOEFL Internet-based: 80 points
	IELTS: 6.0

Applicants taking the TOEFL test are asked to use the university's TOEFL code number 4856.","For the winter semester: 1 May for non-EU citizens, 15 September for EU citizens and nationals from countries that are visa-exempted
For the summer semester: 1 November for non-EU citizens, 15 March for EU citizens and nationals from countries that are visa-exempted"
15,Computer Science (Master of Science),Technische Universität Kaiserslautern,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3629/,"Qualified Bachelor's or equivalent degree
	Language proficiency in English
	GRE test is strongly recommended
","At the beginning of your studies, no knowledge of German is required. However, you are obliged to attend basic German courses at the Technische Universität Kaiserslautern which form an integral part of your programme. After two semesters, you have to pass the DSI examination (DSI stands for ""Deutsche Sprachprüfung für Studierende in internationalen Studiengängen und Doktoranden"": language exam for international students at the Technische Universität Kaiserslautern), in order to continue your studies. This exam requires basic German knowledge at A1 level.
A good knowledge of English is required for admission to the programme of study. You must prove your English language skills for the Master's programme as follows:
TOEFL Test: 550 points (paper-based) / 213 points (computer-based) / 79 points (internet-based) and/or IELTS: 6.0 points, or equivalent (e.g., prior studies in English)","For international applicants applying from abroad who need a visa:
30 April for the following winter semester
31 October for the following summer semester
Others:
15 January for the following summer semester
15 July for the following winter semester"
16,Computer Science for Digital Media,Bauhaus-Universität Weimar,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4238/,"The prerequisite for admission to the Master's degree programme is a Bachelor of Science degree (including a Bachelor's thesis) in computer science, media informatics, media technology or related fields such as electrical engineering, physics, or mathematics with a strong focus on computer science.
FAQ on the application to Computer Science for Digital Media:https://www.uni-weimar.de/en/media/studies/computer-science-for-digital-media-msc/application-faqs/ ","Applicants must provide proof of English at level B2 (Common European Framework of Reference for Languages – CEFR). Equivalent tests:
IELTS (minimum 6.5 points – at least 6.0 in each band of reading, writing, speaking, and listening)
	TOEFL (Internet-based) minimum 85 points

German level A1 is recommended but is not a requirement.
In order to register for the Master's thesis, students must provide proof of English at level C1 (CEFR). As part of our study programme, we offer advanced English classes up to level C1, which count towards the degree.","Applicants who graduated outside the European Union:
15 July for the following winter semester
15 January for the following summer semester
Applicants who graduated within the EU:
30 September for the following winter semester
31 March for the following summer semester"
17,Computer Science International (CSI),University of Rostock,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7618/,"First academic degree (at least 180 credit points) in computer science or a related scientific study field, good knowledge of English (see below)
Applicants need to show extended knowledge worth at least 18 credit points in mathematics and 12 credit points in theoretical computer science.",A TOEFL IBT with at least 94 points or an IELTS with at least 7.0 points or equivalent,Please check the application periods online at https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/.
18,"Computer Science, Master of Science (MSc)",University of Bayreuth,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5245/,"An admission to the Master's programme in Computer Science requires the following:
1) an excellent Bachelor's degree with specific courses in
a) computer science as major subject and
b) mathematics as minor subject
A lack in a limited number of subjects may be compensated by additional courses that have to be completed within the first year at the University of Bayreuth.
2) an English language certificate (details see below)
3) a German certificate (details see below)
Please also see: Master's programme in Computer Science","ENGLISH: English language certificate with a score of at least 6.5 according to IELTS, or a score of at least 88 according to TOEFL (iBT), or an equivalent certificate
GERMAN: level A1 (must be reached at the latest within the first year at the University of Bayreuth)","Winter semester: 15 April to 15 July
	Summer semester: 15 October to 15 January

 "
19,Construction & Robotics,RWTH Aachen University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6993/,"The admission requirements for the CR Master’s programme are as follows:
recognised first level university degree, e.g. Bachelor's degree
	subject-specific educational background in architecture, civil engineering, mechanical engineering, computer science or equivalent educational programmes
	proof of the required competencies comparable to those taught at RWTH Aachen University in relation to the subject-specific background (see details below)
	sufficient proficiency in the English language

Subject specific competencies
You can apply for the CR Master’s programme if you can prove your competency in one of the four CR disciplines: architecture, civil engineering, mechanical engineering or computer science. Depending on the chosen discipline, consider one of the four documents on our website and check if the modules of your fist level degree meet the RWTH demands listed in terms of content as well as credit points (CP) for the following:
competencies in architecture
	competencies in civil engineering
	competencies in mechanical engineering
	competencies in computer science

If you have a Bachelor’s degree in a different discipline then those listed, you can still apply to the CR programme as long as you can prove your competency in one of the disciplines.","Test of English as Foreign Language (TOEFL) Internet-based test (iBT) with a score of at least 95 points
	IELTS test with a score of at least 6.5
	Cambridge Test – Certificate in Advanced English (CAE)
	Placement test of the RWTH Language Center at the OK (Oberkurs) level
","The application procedure as well as application deadlines are handled by the administration of RWTH Aachen University. Therefore, please consult the RWTH websites for details. Depending on your geographical background, please refer to the different procedures for EU/EEA citizens and non-EU citizens.
Unless stated otherwise by the RWTH, the application deadline for EU/EEA citizens for winter semester is 15 July and for summer semester 15 January.
If not stated otherwise by the RWTH, the application deadline for non-EU citizens for winter semester is 1 March and for summer semester 1 September."
20,Data Analytics (MSc),University of Hildesheim Foundation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5561/,"The Master's programme in Data Analytics is highly relevant for students aiming to pursue careers in research in an interdisciplinary field, data analytics, or a related industry. Students with a Bachelor's degree in Computer Science, Information Technology, Mathematics, or related fields are eligible to apply. Generally, students with a strong analytical, mathematical, and statistical base and good programming skills are more suited for this programme.
Eligible admissions are prioritised according to the following criteria:
overall mark of your Bachelor's (53%)
	amount and marks of Bachelor's courses related to Data Analytics (incl. mathematics and programming, 35%)
	prior research activities in data analytics (6%)
	prior practical activities in data analytics (6%)
","English language proficiency is required to undertake the Master's programme in Data Analytics. Sufficient knowledge of English can be demonstrated by a certificate (TOEFL computer-based test score of 61 or above, IELTS band of 6 or above, or an equivalent certificate) or a German ""Abitur"".","Non-EU applicants: 30 June for the following winter semester
EU applicants: 31 August for the following winter semester
Non-EU applicants: 15 December for the following summer semester
EU applicants: 15 February for the following summer semester"
21,Data Engineering and Analytics (MSc),Technical University Munich,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4713/,"Bachelor's degree in Informatics / Computer Science
	Applicants must provide a letter of motivation and a scientific essay
	Applicants may be invited for a selection interview by telephone
	GRE or Gate Test for applicants with a degree from Bangladesh, China, India, Iran, and Pakistan
	Preliminary documentation from uni-assist for applicants who obtained their Bachelor's in a country outside of the EU/EEA

For further information, see: http://www.in.tum.de/en/for-prospective-students/apply-for-admission/masters-programs/","All applicants must submit proof of sufficient English language skills. The accepted English certificates and ways to prove your English language skills can be found here:https://www.tum.de/nc/en/studies/application-and-acceptance/university-admission/language-certificates/
Proof of German language skills is not mandatory for the application.","Winter semester: 31 May
Summer semester: 30 November"
22,Data Science,RWTH Aachen University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7636/,"The academic requirements for the MSc Data Science are as follows:
A Bachelor's degree in computer science, mathematics, physics or a closely related area
	One of the profiles computer science, mathematics or physics must be fulfilled. The profiles in detail can be found here.
	Applicants that do not have an EU citizenship or a German ""Abitur"" need a GRE test with the following scores:

Quantitative Reasoning: minimum 75th percentile
	Verbal Reasoning: minimum 15th percentile
	Analytical Writing: minimum score 3.5

The ECTS and the content description of a module can be found in the electronic lecture directory: RWTHonline. The contents of the modules must be comparable to the RWTH's modules.","For English-taught programmes at RWTH Aachen University, candidates must be able to speak and write fluently in English. We require certain English language skills, as listed here.","Non-EU applicants:
1 March for the following winter semester
	1 September for the following summer semester

EU applicants:
15 July for the following winter semester
	15 January for the following summer semester

Click here for details and exceptions."
