,course,institution,url,admission req,language req,deadline
10,Economics and Institutions (MSc),Philipps-Universität Marburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4055/,"The course is designed as a consecutive programme for students with a BSc/BA in Economics or a BSc/BA with an Economics major.
At the time of application, students should have been awarded at least 144 ECTS points. Students who have studied another programme with a clear emphasis on Economics can also apply. In this case, the requirements are 90 ECTS in Economics courses (not business!) and research methods, particularly mathematics and statistics.","A precondition for successful application is a confident command of the English language (European language classification scheme C1 or better, which is roughly equivalent to IELTS: 7.0, TOEFL (Internet-based): 95 points, TOEIC: 945 points, ESOL: CAE).","Application deadline for the winter semester is 15 July.<br>
Application deadline for the summer semester is 15 January.
The online application system is available between 1 October and 15 January and between 1 April and 15 December. Submitting the application as early as possible is recommended for international students who require a visa for Germany. Applicants who submit their complete application no later than 5 November / 10 May are also eligible for accommodation in one of the university's residence halls."
11,Entrepreneurship (Master of Arts),Worms University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7161/,"For more details, please check the admission requirements on our <a href=""https://www.hs-worms.de/en/applying/how-to-apply-for-study-programs-in-english/"" target=""_blank"" rel=""noreferrer noopener"">website</a>.","Advanced English language skills are required. Evidence can generally be provided by one of the following:
For more details, please check the admission requirements on our <a href=""https://www.hs-worms.de/en/applying/how-to-apply-for-study-programs-in-english/"" target=""_blank"" rel=""noreferrer noopener"">website</a>.","15 July for the following winter semester<br>
15 January for the following summer semester
Additionally, please see our <a href=""https://www.hs-worms.de/en/applying/general-information/application-periods-and-deadlines/"" target=""_blank"" rel=""noreferrer noopener"">webpage</a>."
12,Finance (MSc),Schmalkalden University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8410/,"Academic degree in the fields of business, economics, management or related areas",Proof of English for non-native speakers: TOEFL with a score of at least 86 (Internet-based) points or IELTS with a score of at least 6.5,15 June for the following winter semester and 15 December for the following summer semester
13,Financial Services Management,Kaiserslautern University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4583/,"A prerequisite for admission to the Master's course of study is proof of a degree in an economics, business, management or finance course of study (210 ECTS) at a university of applied sciences and arts, a university or a similar institution of higher education. The course of study must include at least six semesters of theory.
Professional competence must be verified by relevant professional knowledge and competences, normally by a degree.<br>
Personal suitability requires a distinctive interest in the selected course of study and is recognised by the admission commission via a positive vote. The admission commission can base its decision on a selective conversation and may integrate the professional suitability when making its decision.<br>
The examination board may conditionally admit a student who holds less than 210 ECTS to the course of study if the applicant can provide proof of at least 180 ECTS. These conditions can be met by recognition of additional Bachelor's modules, additional study-abroad modules, work experience after completion of the Bachelor's degree or successful completion of additional modules at HS Kaiserslautern — University of Applied Sciences. The examination board informs the admitted student in writing about the conditions before the beginning of the Master's study programme. The conditions can be fulfilled in advance or during the study of the Master's modules. The conditions have to be fulfilled at the latest by the time the student wishes to register for the Master's degree.<br>
An applicant who has acquired an equivalent professional degree in another course of study may also apply for the Master's course of study. The examination board is responsible for determining the equivalence.","Applicants who are not native speakers of English need a comprehensive knowledge of English, at least at level B2; TOEIC Listening and Reading 785; TOEIC Speaking and Writing 310; TOEFL iBT 87; TOEFL ITP 543; IELTS 6.0; Cambridge English: First (FCE); Cambridge English: Business Vantage (BEC Vantage); LCCI EfB Level 2 (Distinction); LCCI EfB Level 3 (Pass) or equivalent",31 May for the following winter semester and 1 December for the following summer semester
14,Global Foresight and Technology Management,Technische Hochschule Ingolstadt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7635/,"1. Proof of Bachelor's degree in engineering, civil engineering, engineering sciences, engineering and management, industrial engineering, IT, natural sciences, economics, sociology and business administration or a degree in another related discipline at a German university with at least 210 ECTS credit points or an equivalent degree of a foreign university
2. Note that all foreign applicants must submit their Bachelor's degree to uni-assist, which verifies their eligibility and converts their grades to the German grade system. Following this, uni-assist will issue a so called preliminary inspection documentation (VPD), which you have to upload to the application portal.","Proof of English proficiency level B2 or higher
Students having acquired their university entrance qualification outside of Germany will have to prove a German level of A1 by the end of the first&nbsp;semester at THI at the latest. The language centre offers free German courses. However, we recommend that you start learning German before you start the programme.","1. Applicants with a Bachelor's degree from outside of Germany must first apply via <a href=""https://www.uni-assist.de/"" target=""_blank"" rel=""noreferrer noopener"">uni-assist</a> from as soon as possible until 15 June for the following winter semester and until 1 December for the following summer semester. If you have acquired your Bachelor's degree outside of Germany, uni-assist has to verify your eligibility to study in Germany and to convert your grades into the German grading system. You will have to submit all required documents to uni-assist online. The process takes four to six weeks. We recommend to apply as early as possible. You can apply at uni-assist before the THI application period starts.
2. <a href=""http://www.thi.de/go/online-application"" target=""_blank"" rel=""noreferrer noopener"">PRIMUSS</a> – THI application portal is open from 2 May until 15 July for the following winter semester and from 15 November to 15 January for the following summer semester. You will have to apply online at the PRIMUSS university application portal. In case of admission, you will have to send all required documents by mail later on.
Please note that application deadlines might change. Please check the <a href=""http://www.thi.de/go/international-applicants-m-en"" target=""_blank"" rel=""noreferrer noopener"">THI website</a> and the <a href=""https://www.uni-assist.de/"" target=""_blank"" rel=""noreferrer noopener"">uni-assist website</a> to get up-to-date information regarding the application period."
15,Global Management (MA),Hof University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4473/,,"Applicants must be proficient in <strong>English</strong>. This can be proven with one of the following:
In addition: Basic language skills in <strong>German</strong>, proven by official test score documents – minimum level of A1 according to CEFR (Common European Framework of Reference for Languages)","1. Application period for the winter semester:
2. Application period for the summer semester:
If you have acquired your university entrance certificate abroad, it has to be assessed by <a href=""https://www.uni-assist.de/en/"" target=""_blank"" rel=""noreferrer noopener"">uni-assist</a> before you send it to Hof University. We advise you to send your documents to uni-assist at least four weeks before the application deadline at Hof University.
On the following links, you will find more information on the <a href=""https://www.hof-university.com/services/application-and-admission/?L=0"" target=""_blank"" rel=""noreferrer noopener"">general entry requirements</a> and the <a href=""https://www.hof-university.com/studying-in-hof/full-time-programs/master/global-management-ma.html"" target=""_blank"" rel=""noreferrer noopener"">specific entry&nbsp;requirements</a>."
16,Global Trade Management (Master of Arts),Worms University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4064/,"For more details, please check the admission requirements on our <a href=""https://www.hs-worms.de/en/applying/how-to-apply-for-study-programs-in-english/"" target=""_blank"" rel=""noreferrer noopener"">website</a>.","Advanced English language skills are required. Evidence can generally be provided by one of the following:
For more details, please check the admission requirements on our <a href=""https://www.hs-worms.de/en/applying/how-to-apply-for-study-programs-in-english/"" target=""_blank"" rel=""noreferrer noopener"">website</a>.","15 July for the following winter semester<br>
15 January for the following summer semester
Additionally, please see our <a href=""https://www.hs-worms.de/en/applying/general-information/application-periods-and-deadlines/"" target=""_blank"" rel=""noreferrer noopener"">webpage</a>."
17,History of Global Markets (MA),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6147/,<strong>Proof of relevance of previous studies</strong>,<strong>Proof of relevant language skills</strong>,"15 November (for the following summer semester)
15 May (for the following winter semester)"
18,International Business Administration,European University Viadrina,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3731/,"Application for admission to the Master of International Business Administration requires a successfully completed Bachelor's degree in the fields of business administration and/or economics. Please note that the programme is a consecutive Master of Science programme and not an non-consecutive MBA.&nbsp;
Besides a Bachelor's degree in the fields of business administration and/or economics, admission into the Master's programme generally requires a minimum of 30 ECTS credits in mathematics, statistics, business informatics, microeconomics or macroeconomics.
International applicants, apply via uni-assist e.V.: <a href=""https://www.uni-assist.de/en/"" target=""_blank"" rel=""noreferrer noopener"">https://www.uni-assist.de/en/</a>
Forms to be submitted:
Applicants with a German degree have to apply directly to the matriculation office at the European University Viadrina. Please use the online application form:<a href=""http://www.study.europa-uni.de/en/wiwi/master/programme/iba/bewerbung/index.html"" target=""_blank"" rel=""noreferrer noopener""> http://www.study.europa-uni.de/en/wiwi/master/programme/iba/bewerbung/index.html</a>","<strong>English</strong><br>
A certificate of sufficient knowledge of the English language on the C1 level of the Common European Framework of Reference (CEFR) is needed as an admission prerequisite, which can be done by providing proof of having successfully passed one of the following equivalent exams:
Except for the above-mentioned tests and certificates, we do not accept any other language certificate. Please arrange for the language certificate to be sent directly from the test institute to the admissions office. Copies – notarised or not – will not be accepted. The language certificate may not be older than three years.
<strong>German</strong><br>
Foreign students who have gained permission to enter a university in a language other than German need to prove their knowledge of the German language by taking the DSH 2 (Deutsche Sprachprüfung für den Hochschulzugang ausländischer Studienbewerber) or an equivalent test (e.g., TestDaF with level 4 in all components). Students who already took the DSH but did not obtain the necessary level are allowed to improve their skills and re-take the DSH exam by the end of their first semester at the European University Viadrina. The Language Centre of the European University Viadrina offers adequate German courses and provides further concrete information: <a href=""http://www.sz.euv-frankfurt-o.de/de/lektorate/deutsch/"" target=""_blank"" rel=""noreferrer noopener"">http://www.sz.euv-frankfurt-o.de/de/lektorate/deutsch/</a><br>
Alternatively, students can be exempted from proof of German proficiency if they decide on the functionally-oriented study programme ""Information and Operations Management (IOM)"" or the ""General Management"" study option.",
19,International Business and Economics (MA),Schmalkalden University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3975/,"Academic degree in the fields of business, economics, management or related areas",Proof of English language ability for non-native speakers: TOEFL with a score of at least 86 (Internet-based) points or IELTS with a score of at least 6.5,15 June for the following winter semester and 15 December for the following summer semester
20,International Business Economics,Technische Universität Ilmenau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7694/,Formal requirements:,Applicants must provide proof of their proficiency in English at level C1 with one of the following certificates:,"Winter semester:
Summer semester:
Foreign applicants who need to apply for a visa to enter Germany should submit their application at least three months before the application deadline."
21,International Economic Policy (IEP),Julius-Maximilians-Universität Würzburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5468/,"<a href=""https://www.wiwi.uni-wuerzburg.de/studium/master/international-economic-policy/"" target=""_blank"" rel=""noreferrer noopener"">www.wiwi.uni-wuerzburg.de/studium/master/international-economic-policy/</a>","<strong>Language requirements in English</strong><br>
The proof of skills in the English language should be at a level of B2 or:<br>
a) Test of English as a Foreign language (TOEFL) with at least 72 points (Internet-based TOEFL)<br>
b) International English Language Test System (IELTS) with a score of 6.0 or better<br>
c) Cambridge First Certificate in English (FCE)<br>
d) Bachelor's degree from an English-taught course
<strong>Language requirements in German</strong><br>
The minimum German language requirement for admission is a certificate at level A2.","For all applicants:<br>
15 July for the following winter semester<br>
15 January for the following summer semester"
22,"International Management &amp; Sustainability (MA), full-time",Ostbayerische Technische Hochschule Amberg-Weiden (OTH),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6984/,"The International Management &amp; Sustainability Master's degree programme requires applicants to pass an aptitude test. You can apply for a place within the application period in the <a href=""https://www3.primuss.de/cgi-bin/bew_anmeldung_v2/index.pl?Session=&amp;FH=fhaw&amp;Email=&amp;Portal=1&amp;Language=en"" target=""_blank"" rel=""noreferrer noopener"">application portal of the OTH Amberg-Weiden</a>.
<strong>Please note:</strong> In some years, the application period is extended. Please check our website for last minute applications.
Applicants with a school-leaving certificate at a foreign school are advised to submit a certificate of recognition of the school-leaving certificate issued by a certified institution (e.g., <a href=""https://www.uni-assist.de/"" target=""_blank"" rel=""noreferrer noopener"">uni-assist</a>) by the end of the application period. The decision on admission to studies is made by the examination board.(IMPORTANT NOTE: An assessment of the degree can certainly be carried out before applying for a place at university. However, this assessment does not make an application to the OTH Amberg-Weiden unnecessary.)
The admission requirements for the Master's degree programme in International Management &amp; Sustainability can be found on the <a href=""https://www.oth-aw.de/en/study-programmes-and-educational-opportunities/study-programmes/master-degree-programs/international-management-sustainability-ims/program-international-management-sustainability/#access-and-admission-requirements"" target=""_blank"" rel=""noreferrer noopener"">website of the programme.</a>","A special feature of the programme is that it is held in English. Therefore, adequate knowledge of the English language must be demonstrated with a language certificate corresponding to level B2 according to the Common European Framework of Reference for Languages. One of the following English language tests with the specified minimum score is sufficient: TOEFL IBT – 80 / IELTS Cambridge – 6 / TOEIC – 780. Proof is not required if the university entrance qualification or university degree was obtained in English.
<strong>Proof of</strong> <strong>German language</strong> skills at level A2 must be submitted before you begin your studies, i.e. at the latest at the time of your official enrolment. This is obviously not required if your previous studies or university entrance qualification were completed in German. Accepted certificates are the Goethe certificate, telc, and ÖSD certificate. During the Master's programme, German language skills must be expanded to level B1 (e.g. through German courses, internships or independent study).","<strong>Winter semester application period</strong><br>
For the&nbsp;winter semester starting 1 October, you can apply&nbsp;from <strong>1 May until 15 July.</strong>
<strong>Summer semester application period</strong><br>
If you prefer to commence your studies in the summer semester, you can apply for admission&nbsp;from <strong>15 November until 15 January.</strong>"
23,"International Management and Psychology, MSc",Rhine-Waal University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4491/,"Admission to our Master's degree programme is subject to an application process.<br>
The formal entry requirements for the International Management and Psychology MSc programme include the following:
This degree programme has restricted admission. Please find more information on our website:&nbsp;<a href=""https://www.hochschule-rhein-waal.de/en/academics/prospective-students/current-application-period/masters-programmes"" target=""_blank"" rel=""noreferrer noopener"">https://www.hochschule-rhein-waal.de/en/academics/prospective-students/current-application-period/masters-programmes</a>","Please note that for this degree programme, English language skills at level B2 according to the Common European Framework of Reference are required. Please be aware that all applicants' test report form numbers will be checked. We will accept the following certificates (or equivalents):
The TOEFL code of our university: 6962","All applicants: 15 July for the following winter semester<br>
All applicants: 15 January for the following summer semester"
24,International Management of Forest Industries,Weihenstephan-Triesdorf University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4500/,,An English language certificate at a B2 level (CEFR) is required for the application.,Internet connection
25,"International Management, Marketing, Entrepreneurship (IMME)",Otto von Guericke University Magdeburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3995/,"Applicants must provide proof of a Bachelor's degree in a relevant subject from a university recognised in Germany with <strong>a GPA from 1.0 up to 2.9 (according to the German grading system</strong>) to be eligible for the study programme.<br>
A degree is considered relevant if a required minimum number of credits in modules covering economics, business administration, <strong>and quantitative methods </strong>(advanced maths, statistics, econometrics, etc.) has been obtained.
Detailed information about admission requirements (i.e., relevant degree, letter of motivation, and <strong>English skills on a level C1</strong>) is available on the study programme's website:<a href=""https://www.isp.ovgu.de/IMMEProgramDetails.html"" target=""_blank"" rel=""noreferrer noopener""> IMME programme and admission details</a>.","Proof of <strong>advanced English skills on the C1 level</strong> is strictly required. A detailed and updated list of recognised test options (TOEFL, IELTS, GRE, GMAT) and minimum scores is available on the programme website:&nbsp;<a href=""https://www.isp.ovgu.de/IMMEApplication.html"" target=""_blank"" rel=""noreferrer noopener"">IMME admission and language requirements.</a>","International applicants:<br>
15 June for the following winter semester, and<br>
15&nbsp;December for the following summer semester"
26,International Marketing and Sales,Münster University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5247/,Bachelor's degree in Business Administration or Economics with ECTS grade B or a minimum mark of 2.3 (according to ECTS). Marks from foreign education systems should be converted using the ANABIN transformation guidelines. The ANABIN database is also relevant for the recognition of foreign education certificates.,"Certified English B2 level skills (vantage or upper intermediate) in the Common European Framework of Reference for Languages: Learning, Teaching, Assessment (abbreviated as CEFR or CEF)","Application periods:
March/April for the winter semester<br>
October/November for the summer semester"
27,International Master's in Biomedical Engineering (BME),Anhalt University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7599/,"Applicants must have a recognised first degree (Bachelor of Science or Engineering or equivalent, e.g. Dipl-Ing) in an engineering or medical discipline. Outstanding students with degrees in related fields such as physics, chemistry, or biology can also be admitted, with the expectation that they will compensate for deficiencies in engineering.","Students must provide proof of their proficiency in English (TOEFL iBT 90, IELTS 6.5 in all components).",15 January and 5 July annually
28,MA International Management &amp; Information Systems (IMIS),South Westphalia University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4411/,"210 ECTS credits from a Bachelor's degree in Business, Business Informatics, or a similar field of study with a final grade better than or equivalent to the German grade 2.5 or the ECTS grade ""B"" is required.
Proof of English language required (see ""language requirements"")","According to the examination regulation, applicants must provide proof of their English skills:","Non-EU applicants: 15 November for the following summer semester<br>
EU applicants: 31 January for the following summer semester"
29,MA International Tourism Development,Deggendorf Institute of Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4601/,,"Please find the language requirements for this degree course here: <a href=""https://www.th-deg.de/en/apply#language-requirements"" target=""_blank"" rel=""noreferrer noopener"">https://www.th-deg.de/en/apply#language-requirements</a>",15 November to 15 January for March entries (summer semester)
30,"Management of Textile Trade and Technology, Master of Science",Hochschule Niederrhein - University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4318/,"(In case of a Bachelor's degree with 180 credits, you have the possibility to earn an additional 30 credits during the Master's studies or by providing six months' practical experience in textile and clothing technology after graduation.)
<a href=""https://web.hs-niederrhein.de/faculties/textile-and-clothing-technology/prospective-students/#c23689"" target=""_blank"" rel=""noreferrer noopener"">https://web.hs-niederrhein.de/faculties/textile-and-clothing-technology/prospective-students/#c23689</a>","Applicants must provide proof of their English skills.<br>
English: TOEFL: 100 (internet-based) or IELTS band 7.0 or equivalent
If you have completed a Bachelor's programme taught in English, you need no additional proof but a confirmation from your university.","Winter semester:<br>
Non-EU applicants via uni-assist: 15 June<br>
EU applicants directly at Hochschule Niederrhein: 15 July<br><br>
Summer semester:<br>
Non-EU applicants via uni-assist: 15 December<br>
EU applicants directly at Hochschule Niederrhein: 15 January
In order to get a visa in time, applicants from non-EU countries should apply as early as possible."
31,Master in International Business (MIB),HTW Berlin University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3705/,"The International Business Master's programme follows consecutively from the International Business Bachelor's programme.<br>
Successful applicants for the Master's programme must:<br>
a) have successfully completed a first academic degree programme with 210 credits as a rule and<br>
b) have completed either an International Business Bachelor's degree or a Master's, Bachelor's or German ""Diplom"" degree in a related subject whose content is comparable with completion of three of the four following modules from the International Business Bachelor's programme:
c) provide evidence of ""advanced knowledge of English"" (details below)<br>
The selection committee will determine comparability for points b) and c). For b), the following applies: an applicant from a comparable programme as defined above is considered to have fulfilled these eligibility requirements if for at least 140 credits conformity with the modules of HTW Berlin's International Business Bachelor's programme is guaranteed.","Applicants are required to provide evidence of “C1” (proficient user) English language skills according to the Common European Framework of Reference for Languages (CEFR) in the form of <strong>one</strong> of the following tests:
The results of the language test should not be more than two years old. Evidence of language aptitude is not required for applicants whose mother tongue is English. In the case of applicants who can prove that they have studied a programme conducted in English at a foreign university for at least one year, the selection committee can waive the requirement for evidence of language aptitude.",15 December for the following summer semester
32,Master in International Marketing (MA),Technische Hochschule Nürnberg Georg Simon Ohm,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4266/,Optional:,"English with a minimum test result of:
German:<br>
Basic knowledge of German: successful completion of A1 level as taught at the Goethe Institute (equivalent to approx. 120 hours of lectures attended)",15 June for the winter semester (semester start 1 October) and 15 January for the summer semester (semester start 15 March)
